"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"525350262224207872","","","2014-10-23 18:17:17 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @Good360: Companies should think of #GivingTuesday as a way to reach a goal and create awareness: http://t.co/bFH7wbmz9i via @Forbes @Gi…","522809416018853888","53135927","2014-10-16 18:00:52 +0000","http://onforb.es/1sJuk12,http://onforb.es/1sJuk12"
"525349243377422338","","14546914","2014-10-23 18:13:14 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@eliwolff10 great to see you in the Endless Abilities film.  You are a rock star!","","","",""
"525348267199299586","","","2014-10-23 18:09:22 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Thank you for following the Disability Rights Fund @debraruh @DisabilityCA @IHCC @BostonCIL @shamrocktie and @anyalifp!","","","",""
"525345505518157824","","","2014-10-23 17:58:23 +0000","<a href=""https://dev.twitter.com/docs/tfw"" rel=""nofollow"">Twitter for Websites</a>","Margarita, With a Straw: ‘The sexuality of the disabled excited me as a film-maker’ http://t.co/rumV0qNQ12 via @guardian","","","","http://gu.com/p/42yda/tw"
"525283282427322368","","","2014-10-23 13:51:08 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @gordonrattray: Rescue boat with accessibility features - CDD, Bangladesh - blog from @Diane_CBM explains #DRR http://t.co/FiyCQkL4Cq ht…","524222116812840960","71793818","2014-10-20 15:34:26 +0000","http://tmsnrt.rs/1wfK8c5,http://twitter.com/gordonrattray/status/524222116812840960/photo/1,http://tmsnrt.rs/1wfK8c5,http://twitter.com/gordonrattray/status/524222116812840960/photo/1"
"525283023852683264","","","2014-10-23 13:50:06 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @gordonrattray: #CRPD committee issues statement on #disability-inclusive #DRR via @PreventionWeb and @Diane_CBM @Vscherrer @didrrn http…","524797999277674496","71793818","2014-10-22 05:42:47 +0000","http://bit.ly/1w75zi2,http://bit.ly/1w75zi2"
"524676564903292928","","352016398","2014-10-21 21:40:15 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@DavidLepofsky Thank you for the retweet! @DisabRightsFund","","","",""
"524671713338875904","","","2014-10-21 21:20:59 +0000","<a href=""https://dev.twitter.com/docs/tfw"" rel=""nofollow"">Twitter for Websites</a>","#CRPD Article 25:  Health #selfadvocacy video by Lebanese Association for Self Advocacy http://t.co/jKqFutGv6w via @YouTube","","","","http://youtu.be/NsIfxUey0Ng"
"524639116705947648","","","2014-10-21 19:11:27 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @EAbilities: BOSTON - See Endless Abilities at Kendall Cinema in Cambridge for the Thursday before Halloween. Costumes... http://t.co/zV…","520429760556838912","395127507","2014-10-10 04:24:58 +0000","http://fb.me/3uIUPLQbA,http://fb.me/3uIUPLQbA"
"524633922756308995","","1347715296","2014-10-21 18:50:49 +0000","<a href=""https://dev.twitter.com/docs/tfw"" rel=""nofollow"">Twitter for Websites</a>","@DisabRightsFund grantee Lebanese Association of Self Advocates  (LASA) has developed video shorts http://t.co/0TgPzqdX8U via @YouTube","","","","http://youtu.be/1B80olOY5t4"
"524618485121294336","","","2014-10-21 17:49:28 +0000","<a href=""https://dev.twitter.com/docs/tfw"" rel=""nofollow"">Twitter for Websites</a>","I just joined 842 donors giving a dollar a day to amazing nonprofits! #dollaraday https://t.co/uwIk4GuOU8","","","","https://dollaraday.co/"
"524181145949188096","","","2014-10-20 12:51:38 +0000","<a href=""https://dev.twitter.com/docs/tfw"" rel=""nofollow"">Twitter for Websites</a>","RT @InclusionIntl: Excellent short movies from the Lebanese Association for #self-advocacy (LASA) funded by @DisabRightsFund #crpd http://t…","524124094841618432","1023795972","2014-10-20 09:04:56 +0000","http://inclusion-international.org/movies-self-advocates-lebanon/,http://inclusion-international.org/movies-self-advocates-lebanon/"
"523109538946633728","","","2014-10-17 13:53:27 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @GlobalGiving: It's Int'l Day for the Eradication of Poverty &amp; we'll be sharing some of the most effective poverty-fighting projects. #E…","523108673921376256","9334532","2014-10-17 13:50:01 +0000",""
"523090666478665729","","412619966","2014-10-17 12:38:28 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@OppColl DRF Founding Executive Director, @DSamarasan, Sara Minkara, and DRF GRANTEES join forces in Ixtapa. http://t.co/V0IheyYCh0","","","","http://twitter.com/DisabRightsFund/status/523090666478665729/photo/1,http://twitter.com/DisabRightsFund/status/523090666478665729/photo/1,http://twitter.com/DisabRightsFund/status/523090666478665729/photo/1"
"523089916624773120","","","2014-10-17 12:35:29 +0000","<a href=""https://dev.twitter.com/docs/tfw"" rel=""nofollow"">Twitter for Websites</a>","RT @impactspace: Join Sara Minkara of @DisabRightsFund in today's PM session @OppColl 'Rethinking Global Problems &amp; Solutions' #socent #imp…","522839591452041218","1126023084","2014-10-16 20:00:47 +0000",""
"522740745179262978","","412619966","2014-10-16 13:28:00 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@OppColl DRF Founding Executive Director, @DSamarasan, Sara Minkara, and DRF Global Advisors join forces in Ixtapa. http://t.co/qz4DZhae6A","","","","http://twitter.com/DisabRightsFund/status/522740745179262978/photo/1"
"522737514805608448","","","2014-10-16 13:15:10 +0000","<a href=""https://dev.twitter.com/docs/tfw"" rel=""nofollow"">Twitter for Websites</a>","Martin Ennals Foundation Invites Nominations for Human Rights Defenders Award http://t.co/0CkyZszBOm via @sharethis","","","","http://shar.es/1mZXrX"
"522494181772505088","","","2014-10-15 21:08:15 +0000","<a href=""https://dev.twitter.com/docs/tfw"" rel=""nofollow"">Twitter for Websites</a>","Join me in supporting Stop the Violence Against People with Disabilities https://t.co/DbWJo1CN9o via @joinfundraise","","","","https://nolimits.fundraise.com/stop-the-violence-against-people-with-disabilities"
